code,term
1067871000000104,Injury whilst snowboarding
1068391000000106,Injury whilst gardening
1068471000000101,Injury whilst dancing
16205741000119105,Accidental fall from snowboard
218031003,Accident caused by electric sewing machine
218043002,Accident caused by garden fork
218053001,Accident caused by hand or treadle sewing machine
242231006,Failure of parachute to open
242232004,Parachutist struck by flying aircraft
242233009,Parachute line tangled with aircraft
242251005,Failure of parachute on descent
242744002,Accident caused by industrial sewing machine
283646002,Puncture wound caused by sewing needle
283647006,Puncture wound of hand caused by sewing needle
283648001,Sewing needle in finger
283649009,Sewing needle through nail
418565008,Parachute descent accident
418854009,Voluntary parachute descent accident
