code,term
1067931000000105,Injury whilst parachute jumping
216222001,"Injury from voluntary parachute descent, without accident to aircraft"
216224000,"Injury from voluntary parachute descent, without accident to aircraft, occupant of military aircraft injured"
216230000,"Injury from voluntary parachute descent, without accident to aircraft, parachutist injured"
216231001,"Injury from voluntary parachute descent, without accident to aircraft, member of ground crew or airline employee injured"
242231006,Failure of parachute to open
242232004,Parachutist struck by flying aircraft
242233009,Parachute line tangled with aircraft
242251005,Failure of parachute on descent
418565008,Parachute descent accident
418854009,Voluntary parachute descent accident
